filename,n_nodes,mst_cost,mst_time_s,christofides_cost,christofides_time_s,total_time_s
2394,98,1050.6569168965223,0.012013,1136.4039917130556,0.033355,0.045369
2395,97,1016.5938156276051,0.011712,1088.1659080308914,0.031981,0.043694
2396,67,967.3198567634167,0.005538,943.9230156868675,0.011024,0.016562
2397,33,607.7924510905498,0.001346,536.6639029534157,0.001583,0.002929
2398,39,677.1798216989611,0.001880,588.3129914624514,0.002404,0.004284
2399,61,920.0816489490927,0.004563,946.2444102420916,0.008369,0.012932
2400,68,838.9915823625117,0.005685,745.9734901368117,0.011489,0.017174
2401,93,1026.577240859241,0.010787,1116.709562586694,0.028555,0.039342
2402,70,944.8042353991525,0.006073,980.7655644042885,0.012450,0.018524
2403,46,712.2594062735776,0.002588,674.5547964245475,0.003810,0.006399
2404,26,505.8969141732013,0.000827,647.6441010645574,0.000830,0.001657
2405,68,798.9823238403535,0.005712,988.0806743243209,0.011498,0.017210
2406,43,750.9523092060005,0.002263,759.891238922185,0.003172,0.005435
2407,33,582.3390511641727,0.001324,569.1212663885567,0.001560,0.002885
2408,86,961.1126876080081,0.009164,1115.1099880085012,0.022724,0.031888
2409,74,909.2919402237466,0.006790,1088.3732000673597,0.014630,0.021420
2410,27,572.6725459912973,0.000899,470.6961805027274,0.000975,0.001874
2411,92,1002.4739379998115,0.010537,1078.8774822524394,0.027673,0.038211
2412,88,989.0290483792717,0.009633,1127.866541840232,0.024326,0.033960
2413,25,583.7201560438908,0.000790,660.9348910970753,0.000749,0.001539
2414,91,992.9962682733482,0.010283,1075.2660704240564,0.026708,0.036991
2415,40,661.1214299882978,0.001991,706.5636402298289,0.002602,0.004593
2416,68,908.8944838908494,0.005713,936.922252831667,0.011516,0.017229
2417,38,587.8581265949174,0.001788,603.5659491395124,0.002238,0.004026
2418,44,638.4404153630916,0.002377,650.9872770165545,0.003383,0.005760
2419,45,779.3457517243385,0.002484,630.3521411670081,0.003587,0.006071
2420,40,655.0609906390956,0.001973,764.907245660698,0.002599,0.004572
2421,41,746.2555055731822,0.002058,880.4401564819984,0.002758,0.004816
2422,75,966.706193799407,0.006974,1084.5726445588823,0.015254,0.022228
2423,29,589.9621309987457,0.001036,479.2429126556682,0.001117,0.002153
2424,96,1068.094272774989,0.011527,1230.0532657709527,0.031630,0.043157
2425,23,492.66308711060447,0.000655,529.756144965352,0.000622,0.001277
2426,94,1062.4368003179445,0.010991,1205.6674612306006,0.029602,0.040593
2427,23,564.2075253237032,0.000661,520.8025219683176,0.000619,0.001280
2428,40,720.7473873063929,0.001957,639.8303450751026,0.002601,0.004559
2429,34,598.7490939874914,0.001423,691.8001159825451,0.001706,0.003129
2430,56,791.1792251655742,0.003856,834.9779069683331,0.006650,0.010506
2431,89,975.8934657353606,0.009907,990.3648946668445,0.024966,0.034874
2432,94,1050.804265419851,0.011019,1136.4579998374395,0.029474,0.040493
2433,52,824.8716384436588,0.003336,671.927956062409,0.005362,0.008698
2434,77,839.8228458778206,0.007389,941.9065439438939,0.016422,0.023812
2435,58,865.2729276147209,0.004172,962.0826895392887,0.007364,0.011536
2436,100,1090.1427010230473,0.012549,1098.0105185710086,0.035188,0.047738
2437,68,893.2479869086004,0.005741,883.6053187636755,0.011511,0.017252
2438,32,636.0690680807194,0.001252,662.2837033731001,0.001414,0.002666
2439,59,802.0758581362579,0.004312,705.818543657433,0.007718,0.012030
2440,48,781.6321955798759,0.002843,866.7020476954823,0.004376,0.007219
2441,96,1046.018214496671,0.011545,1216.756026827873,0.031229,0.042774
2442,64,856.1905697989841,0.005101,900.237631123801,0.009764,0.014865
2443,31,578.5236387542171,0.001172,597.9804365387233,0.001353,0.002525
2444,63,830.1179506318664,0.004904,940.0465317397003,0.009131,0.014035
2445,65,760.2616762608834,0.005245,803.4366999087345,0.010071,0.015316
2446,36,570.4152233416935,0.001610,762.1859771102801,0.001930,0.003540
2447,49,757.7165085764294,0.002972,729.78462678353,0.004540,0.007512
2448,80,1003.0943580469091,0.007963,1129.456401899199,0.018515,0.026478
2449,20,470.836536332083,0.000522,440.2514533418791,0.000451,0.000974
2450,69,892.0683805688941,0.005863,923.1000641300607,0.011921,0.017784
2451,85,968.5650736142641,0.008988,1093.8355648247714,0.021860,0.030848
2452,22,470.4902255740036,0.000603,421.7310101826565,0.000537,0.001141
2453,51,770.1235729659649,0.003187,740.5463498475374,0.005037,0.008224
2454,93,959.0679001418888,0.010812,1028.649958381923,0.028461,0.039273
2455,67,919.3154908336212,0.005567,994.055526260372,0.011034,0.016602
2456,28,621.8435369003097,0.000975,636.2796518472187,0.001045,0.002020
2457,29,587.8633180455663,0.001022,537.0822819819329,0.001069,0.002091
2458,73,909.0114915723861,0.006583,915.5884862188042,0.014125,0.020709
2459,93,990.1346563588236,0.012405,1146.897645742352,0.030896,0.043302
2460,39,641.3394180762816,0.001910,662.3285124342508,0.002446,0.004356
2461,94,1023.2421123595864,0.011196,1042.8430522812794,0.029561,0.040757
2462,26,613.131560006782,0.000869,621.4097647125337,0.000845,0.001714
2463,50,713.1802312660867,0.003063,945.4730232760256,0.004816,0.007879
2464,98,1021.5316106592956,0.011987,1009.4097949325717,0.033004,0.044992
2465,44,684.8100380110573,0.002409,613.9836879730368,0.003351,0.005761
2466,21,455.1755663418328,0.000537,419.43853080926385,0.000476,0.001013
2467,65,909.0921641361113,0.005217,719.5583242798122,0.010071,0.015289
2468,51,773.3259861844247,0.003190,727.826708766678,0.005076,0.008265
2469,56,850.8283553850099,0.003841,797.3332264043829,0.006597,0.010438
2470,40,733.7708214753247,0.001961,874.3438248611396,0.002583,0.004544
2471,53,874.9878423948757,0.003440,801.8874273909274,0.005780,0.009220
2472,29,532.3716938430666,0.001033,536.9911210198421,0.001131,0.002164
2473,45,698.4593379940027,0.002487,662.1311884150969,0.003579,0.006066
2474,55,836.0692444516606,0.003704,772.5811911829323,0.006285,0.009990
2475,60,831.7318218471472,0.004434,914.0231088742383,0.008050,0.012485
2476,66,960.825047340946,0.005418,817.9508713478458,0.010402,0.015821
2477,79,965.6105473775199,0.007734,943.7816208301276,0.017895,0.025629
2478,47,727.2231525230775,0.002726,719.0973246221715,0.004097,0.006823
2479,24,483.62786574687277,0.000851,592.8224648161718,0.000833,0.001684
2480,64,869.8714652439255,0.005304,768.9607150033686,0.009712,0.015016
2481,20,453.02658649832244,0.000516,470.8667319699768,0.000440,0.000956
2482,89,955.273319297595,0.009894,1061.8728196074765,0.024906,0.034800
2483,39,655.7938352993102,0.001875,607.764407841994,0.002467,0.004343
2484,93,993.3743142577679,0.010836,980.3433861209095,0.028504,0.039340
2485,70,935.6267019649126,0.006077,934.4982880015999,0.012514,0.018591
2486,82,971.1933749432313,0.008351,998.3232391670401,0.019773,0.028124
2487,77,918.6669604582028,0.007380,898.7677371428521,0.016479,0.023860
2488,63,921.179893622698,0.004899,954.4466386890847,0.009287,0.014186
2489,88,1030.7424705555748,0.009668,1139.6571747839655,0.024272,0.033940
2490,63,849.1412045983595,0.004879,880.8446366248951,0.009266,0.014145
2491,64,866.3699208265084,0.005062,859.9282616091632,0.009707,0.014770
2492,55,760.4032549091172,0.003731,719.9699934747248,0.006296,0.010028
2493,84,1012.806487136953,0.008790,937.6224923718886,0.021229,0.030020
2494,20,445.7000147730149,0.000493,417.77982914746224,0.000425,0.000919
2495,81,1000.4024535702247,0.008126,1020.9254517584365,0.019152,0.027278
2496,43,672.3007189647454,0.002271,693.7387381054523,0.003167,0.005438
2497,68,848.7133566925121,0.005768,995.9412907713896,0.011438,0.017206
2498,97,1057.317503444596,0.011758,1058.7693010439934,0.032174,0.043932
2499,89,967.7331217669224,0.009875,979.1125802339991,0.025437,0.035313
2500,100,1103.4010138649305,0.012465,1162.1829186475838,0.035095,0.047560
2501,92,1040.7472220199988,0.010541,1191.7428002113543,0.027424,0.037966
2502,45,744.7599639395713,0.002518,787.2265318644742,0.003668,0.006186
2503,30,625.205268431311,0.001111,635.4329886315759,0.001167,0.002278
2504,31,705.2103425121945,0.001185,565.1095122808208,0.001336,0.002521
2505,99,1004.4599695138343,0.012210,1062.7104494800992,0.034078,0.046288
2506,93,995.5755342520245,0.010811,1142.567543340747,0.028709,0.039520
2507,84,921.2135347581489,0.009844,954.2163770015399,0.021800,0.031644
2508,100,1067.7247549351255,0.012959,1214.2886034822354,0.036157,0.049117
2509,21,573.7880786547813,0.000556,536.0668247646852,0.000471,0.001027
2510,71,883.7654459252449,0.006372,952.6950202816724,0.013183,0.019555
2511,72,872.178077790868,0.006759,891.5085994872501,0.013614,0.020374
2512,56,732.6440725113807,0.003864,789.0533883471262,0.006570,0.010434
2513,31,630.5344413726702,0.001162,647.4262935872013,0.001535,0.002698
2514,56,712.8238777516252,0.004300,790.05185398455,0.006554,0.010854
2515,55,781.3728298979445,0.003701,833.8292063344428,0.006703,0.010405
2516,46,809.828827405837,0.002579,825.8896929177473,0.003802,0.006381
2517,56,842.0332777629189,0.003861,941.8007371172357,0.007268,0.011130
2518,93,972.0741344730869,0.010897,1082.9715003220922,0.030453,0.041350
2519,64,896.2973092360933,0.005460,912.3587922391378,0.009632,0.015092
2520,67,869.9927091330633,0.005722,1046.7288201203576,0.011265,0.016988
2521,76,1023.3121995182788,0.007703,997.8081549690014,0.016291,0.023994
2522,57,786.2830467091995,0.003994,791.3135958913842,0.006842,0.010837
2523,75,939.0942010916553,0.007357,1062.2065498471927,0.015831,0.023188
2524,42,673.1218877762217,0.002149,703.8014579420501,0.002901,0.005049
2525,49,833.3682774506716,0.002957,716.7704873136387,0.004655,0.007612
2526,69,985.1440973788963,0.006291,912.3047830315236,0.012158,0.018450
2527,36,671.6102599402438,0.001575,736.5335869207333,0.001953,0.003528
2528,58,866.1977153123559,0.004116,931.5789620653543,0.007296,0.011412
2529,20,490.49210706597347,0.000490,490.49210706597347,0.000421,0.000912
2530,82,1023.2523239651904,0.008331,1022.4296838979049,0.019873,0.028205
2531,67,849.0579156668789,0.005588,912.686831770527,0.011104,0.016692
2532,31,612.0389544095216,0.001187,558.7207240597664,0.001280,0.002467
2533,75,962.9957736922585,0.007061,934.7833790887845,0.015338,0.022399
2534,60,800.8956344463973,0.004439,790.4184963060022,0.008362,0.012801
2535,21,471.76647725844686,0.000635,448.9118821012671,0.000605,0.001240
2536,23,535.0918446279046,0.000737,549.4066130133127,0.000599,0.001336
2537,41,650.3080890942936,0.002052,634.6586326264667,0.002821,0.004872
